Variable,Net_Carbon
167S_2050_THP,70.72660077
167S_2050_THP3,59.19575405
167S_2050_THP4,53.4792614
167S_2050_WF21,39.30632782
171_2050_ASV,36.02509481
171_2050_NOMG,36.90101242
401_2050_ASV,100.4154834
401_2050_NOMG,101.3820496
402_2050_ASV,67.33473432
402_2050_NOMG,68.85831451
404_2050_CLC,18.37739182
404_2050_CLC3,19.98977852
404_2050_CLC4,24.48977852
404_2050_NOMG,49.98996735
404_2050_RXB7,29.29229736
404_2050_RXBO,40.86707687
404_2050_SHW,33.26276755
404_2050_SHW3,32.8782711
404_2050_SHW4,34.492239
404_2050_WEE,49.98996735
404_2050_WEE3,49.98996735
404_2050_WEE4,49.35688683
404_2050_WF21,24.78074455
405_2050_CLC,35.10075951
405_2050_CLC3,33.77640152
405_2050_CLC4,39.76724911
405_2050_NOMG,90.72280884
405_2050_RXB7,53.18600845
405_2050_RXBO,76.42951965
405_2050_SHW,45.94289064
405_2050_SHW3,44.85183144
405_2050_SHW4,50.54193974
405_2050_TBB1,59.86840469
405_2050_TBB7,42.54043227
405_2050_THB,68.45315963
405_2050_THB3,62.30422425
405_2050_THB4,62.77296305
405_2050_WF21,50.283638
406_2050_ASV,88.1179539
406_2050_CLC,32.64849377
406_2050_CLC3,34.73394489
406_2050_CLC4,44.05379295
406_2050_NOMG,88.72581482
406_2050_RXB7,59.48569489
406_2050_RXBO,82.07131958
406_2050_SHW,43.40010357
406_2050_SHW3,44.96435547
406_2050_SHW4,53.69948006
406_2050_TBB1,53.53792524
406_2050_TBB7,41.73829603
406_2050_THB,59.41921186
406_2050_THB3,58.90311861
406_2050_THB4,64.54604959
406_2050_WF21,52.61159897
409_2050_CLC,28.62363195
409_2050_CLC3,28.3199625
409_2050_CLC4,34.39482689
409_2050_NOMG,81.15587616
409_2050_RXB7,43.47593307
409_2050_RXBO,66.73103333
409_2050_SHW,39.17160559
409_2050_SHW3,38.20550919
409_2050_SHW4,43.79440784
409_2050_TBB1,52.77387747
409_2050_TBB7,36.62410483
409_2050_THB,62.38580069
409_2050_THB3,56.21903956
409_2050_THB4,56.24714518
409_2050_WF21,42.24045181
502_2050_NOMG,74.24536133
502_2050_SHW,50.28554177
